label,time,value
Mint,2025-09-29 00:00:00+00:00,215048678.20999998
Burn,2025-10-06 00:00:00+00:00,187022922.0001
Mint,2025-10-06 00:00:00+00:00,5239733.16
Burn,2025-10-13 00:00:00+00:00,119375.0
Mint,2025-10-13 00:00:00+00:00,183638.41
Mint,2025-10-20 00:00:00+00:00,182881.12000000002
Burn,2025-10-27 00:00:00+00:00,103019752.5726
Mint,2025-10-27 00:00:00+00:00,182892.69
Burn,2025-11-03 00:00:00+00:00,5403463.200805
Mint,2025-11-03 00:00:00+00:00,207268.76
Mint,2025-11-10 00:00:00+00:00,102890.65000000002
Burn,2025-11-17 00:00:00+00:00,3301967.0
Mint,2025-11-17 00:00:00+00:00,15102526.530000001
Mint,2025-11-24 00:00:00+00:00,110688.37
Burn,2025-12-01 00:00:00+00:00,400000.0
Mint,2025-12-01 00:00:00+00:00,211158.9
Burn,2025-12-08 00:00:00+00:00,3000100.0
Mint,2025-12-08 00:00:00+00:00,968636.02
Burn,2025-12-15 00:00:00+00:00,10114165.530000001
Mint,2025-12-15 00:00:00+00:00,12606675.38
Burn,2025-12-22 00:00:00+00:00,524.41
Mint,2025-12-22 00:00:00+00:00,253410.99
Burn,2025-12-29 00:00:00+00:00,500000.0
Mint,2025-12-29 00:00:00+00:00,6006678.1
Burn,2026-01-05 00:00:00+00:00,447.66
Mint,2026-01-05 00:00:00+00:00,105897.45
Mint,2026-01-12 00:00:00+00:00,2302605.69
Burn,2026-01-19 00:00:00+00:00,100023.45
Mint,2026-01-19 00:00:00+00:00,106384.56
Burn,2026-01-26 00:00:00+00:00,5537455.83
Mint,2026-01-26 00:00:00+00:00,3306024.94
Burn,2026-02-02 00:00:00+00:00,400000.0
Mint,2026-02-02 00:00:00+00:00,103870.14000000001
Mint,2026-02-09 00:00:00+00:00,2064792.49
